date,usd_inr_rate
2022-04-26,76.68
2022-04-27,76.632
2022-04-28,76.67
2022-04-29,76.535
2022-05-13,77.48
2022-05-16,77.833
2022-05-17,77.476
2022-05-18,77.81
2022-05-19,77.415
2022-05-20,77.865
2022-05-23,77.545
2022-05-24,77.475
2022-05-25,77.531
2022-05-26,77.636
2022-05-27,77.624
2022-05-30,77.554
2022-05-31,77.598
2022-06-13,78.104
2022-06-14,78.022
2022-06-15,78.171
2022-06-16,77.977
2022-06-17,77.952
2022-06-20,77.927
2022-06-21,78.133
2022-06-22,78.18
2022-06-23,78.145
2022-06-24,78.255
2022-06-27,78.44
2022-06-28,78.995
2022-06-29,78.945
2022-06-30,78.965
2022-07-13,79.65
2022-07-14,79.89
2022-07-15,79.76
2022-07-18,79.99
2022-07-19,79.85
2022-07-20,79.98
2022-07-21,79.85
2022-07-22,79.83
2022-07-25,79.691
2022-07-26,79.843
2022-07-27,79.845
2022-07-28,79.626
2022-07-29,79.336
2022-08-15,79.518
2022-08-16,79.248
2022-08-17,79.35
2022-08-18,79.75
2022-08-19,79.92
2022-08-22,79.85
2022-08-23,79.847
2022-08-24,79.78
2022-08-25,79.862
2022-08-26,79.961
2022-08-29,79.954
2022-08-30,79.665
2022-08-31,79.491
2022-09-13,79.577
2022-09-14,79.431
2022-09-15,79.839
2022-09-16,79.686
2022-09-19,79.693
2022-09-20,79.751
2022-09-21,79.907
2022-09-22,81.047
2022-09-23,81.25
2022-09-26,81.61
2022-09-27,81.705
2022-09-28,81.406
2022-09-29,81.461
2022-09-30,81.509
2022-10-13,82.172
2022-10-14,82.34
2022-10-17,82.171
2022-10-18,82.291
2022-10-19,83.013
2022-10-20,82.82
2022-10-21,82.529
2022-10-24,82.744
2022-10-25,82.515
2022-10-26,81.901
2022-10-27,82.368
2022-10-28,82.261
2022-10-31,82.77
2022-11-14,80.965
2022-11-15,81.061
2022-11-16,81.48
2022-11-17,81.51
2022-11-18,81.617
2022-11-21,81.699
2022-11-22,81.714
2022-11-23,81.604
2022-11-24,81.613
2022-11-25,81.685
2022-11-28,81.64
2022-11-29,81.616
2022-11-30,81.359
2022-12-13,82.375
2022-12-14,82.474
2022-12-15,82.843
2022-12-16,82.706
2022-12-19,82.649
2022-12-20,82.6
2022-12-21,82.88
2022-12-22,82.96
2022-12-23,82.78
2022-12-26,82.65
2022-12-27,82.83
2022-12-28,82.736
2022-12-29,82.758
2022-12-30,82.717
2023-01-13,81.28
