Date,Price,Open,High,Low,Vol.,Change %
10-06-2021,74.778,74.522,75.066,74.522,,0.29%
10-05-2021,74.565,74.578,74.688,74.43,,-0.03%
10-04-2021,74.588,74.147,74.597,74.135,,0.59%
10-01-2021,74.15,74.19,74.389,74.09,,-0.03%
09/30/2021,74.17,74.326,74.361,74.115,,-0.17%
09/29/2021,74.298,74.174,74.359,74.097,,0.13%
09/28/2021,74.2,73.8,74.26,73.734,,0.51%
09/27/2021,73.825,73.685,73.886,73.61,,0.01%
09/24/2021,73.821,73.832,73.875,73.619,,0.01%
09/23/2021,73.81,73.88,73.912,73.6,,-0.02%
09/22/2021,73.825,73.777,73.955,73.675,,0.11%
09/21/2021,73.745,73.645,73.759,73.555,,0.12%
09/20/2021,73.653,73.825,73.847,73.615,,0.01%
09/17/2021,73.645,73.526,73.645,73.413,,0.10%
09/16/2021,73.575,73.445,73.616,73.335,,0.18%
09/15/2021,73.445,73.629,73.742,73.423,,-0.27%
09/14/2021,73.647,73.529,73.734,73.517,,0.11%
09/13/2021,73.565,73.545,73.787,73.545,,0.06%
09-10-2021,73.524,73.556,73.556,73.375,,-0.03%
09-09-2021,73.546,73.74,73.897,73.506,,-0.34%
09-08-2021,73.796,73.416,73.883,73.412,,0.48%
09-07-2021,73.442,73.073,73.494,73.047,,0.50%
09-06-2021,73.078,72.995,73.131,72.971,,0.11%
09-03-2021,72.997,73.013,73.166,72.93,,-0.01%
09-02-2021,73.006,72.998,73.134,72.951,,0.02%
09-01-2021,72.995,72.987,73.161,72.916,,0.06%
08/31/2021,72.951,73.423,73.423,72.907,,-0.47%
08/30/2021,73.299,73.456,73.556,73.187,,-0.24%
08/27/2021,73.475,74.126,74.21,73.454,,-0.92%
08/26/2021,74.155,74.103,74.275,74.091,,0.05%
08/25/2021,74.12,74.15,74.31,74.12,,-0.02%
08/24/2021,74.136,74.084,74.23,74.081,,0.00%
08/23/2021,74.135,74.261,74.321,74.089,,-0.29%
08/20/2021,74.352,74.385,74.483,74.322,,-0.04%
08/19/2021,74.38,74.28,74.464,74.261,,0.12%
08/18/2021,74.29,74.321,74.355,74.234,,-0.11%
08/17/2021,74.375,74.134,74.395,74.134,,0.28%
08/16/2021,74.17,74.232,74.305,74.123,,-0.10%
08/13/2021,74.242,74.241,74.326,74.238,,-0.10%
08-12-2021,74.315,74.103,74.34,74.103,,0.07%
08-11-2021,74.263,74.419,74.501,74.201,,-0.23%
08-10-2021,74.435,74.456,74.509,74.337,,-0.07%
08-09-2021,74.488,74.243,74.488,74.203,,0.33%
08-06-2021,74.242,74.082,74.242,74.041,,0.19%
08-05-2021,74.1,74.172,74.29,74.087,,-0.10%
08-04-2021,74.175,74.242,74.279,74.105,,-0.10%
08-03-2021,74.251,74.317,74.368,74.204,,-0.14%
08-02-2021,74.356,74.342,74.432,74.316,,0.02%
07/30/2021,74.344,74.256,74.454,74.249,,0.13%
07/29/2021,74.248,74.383,74.432,74.219,,-0.34%
07/28/2021,74.5,74.526,74.534,74.31,,-0.01%
07/27/2021,74.504,74.279,74.546,74.279,,0.22%
07/26/2021,74.34,74.442,74.534,74.338,,-0.12%
07/23/2021,74.427,74.457,74.575,74.374,,-0.04%
07/22/2021,74.455,74.441,74.525,74.306,,-0.05%
