date,ticker,close_price,sentiment_score,usd_inr_rate,interest_rate,unemployment_rate,return_1,return_direction
2020-01-06,TCS,2016.2249,0.0,71.355,5.15,7.859,-9.085462412106171e-05,1
2020-01-07,TCS,2021.1732,0.0,71.355,5.15,7.859,0.0024542400999014724,1
2020-01-08,TCS,2066.4373,-0.5719,71.355,5.15,7.859,0.02239496347962655,0
2020-01-08,TCS,2066.4373,0.0,71.355,5.15,7.859,0.0,0
2020-01-09,TCS,2028.9618,0.0,71.355,5.15,7.859,-0.018135319179536702,0
2020-01-10,TCS,2028.2285,-0.4939,71.355,5.15,7.859,-0.0003614163657492675,0
2020-01-13,TCS,2006.9709,0.0,70.71,5.15,7.859,-0.010480870375305318,1
2020-01-14,TCS,2022.1353,0.0,70.85,5.15,7.859,0.0075558644123838725,1
2020-01-15,TCS,2040.4604,0.0,70.72,5.15,7.859,0.009062252164828033,0
2020-01-15,TCS,2040.4604,0.0,70.72,5.15,7.859,0.0,0
2020-01-15,TCS,2040.4604,-0.5719,70.72,5.15,7.859,0.0,1
2020-01-16,TCS,2051.3647,0.4215,70.978,5.15,7.859,0.005344039021781599,0
2020-01-16,TCS,2051.3647,0.0,70.978,5.15,7.859,0.0,0
2020-01-16,TCS,2051.3647,0.2263,70.978,5.15,7.859,0.0,0
2020-01-17,TCS,2033.3141,0.0,71.079,5.15,7.859,-0.008799312964681505,0
2020-01-20,TCS,1988.6454,0.0,71.04,5.15,7.859,-0.02196842091440765,1
2020-01-21,TCS,1989.2864,0.0,71.17,5.15,7.859,0.0003223299639039112,1
2020-01-22,TCS,2022.1353,0.0,71.08,5.15,7.859,0.016512906336664246,0
2020-01-23,TCS,2012.0791,-0.5719,71.4,5.15,7.859,-0.004973059913448874,0
2020-01-24,TCS,2005.1455,-0.4215,71.33,5.15,7.859,-0.0034459877844761344,0
2020-01-24,TCS,2005.1455,0.0,71.33,5.15,7.859,0.0,0
2020-01-24,TCS,2005.1455,0.0,71.33,5.15,7.859,0.0,0
2020-01-27,TCS,1992.1506,0.0,71.45,5.15,7.859,-0.006480776582048597,0
2020-01-27,TCS,1992.1506,0.0,71.45,5.15,7.859,0.0,1
2020-01-28,TCS,2005.467,0.0,71.2,5.15,7.859,0.006684434399688577,0
2020-01-28,TCS,2005.467,0.0,71.2,5.15,7.859,0.0,0
2020-01-29,TCS,1978.6965,0.4404,71.31,5.15,7.859,-0.013348761161365408,0
2020-01-29,TCS,1978.6965,0.34,71.31,5.15,7.859,0.0,0
2020-01-29,TCS,1978.6965,-0.5719,71.31,5.15,7.859,0.0,0
2020-01-30,TCS,1963.3146,0.0,71.55,5.15,7.859,-0.007773754085075746,0
2020-01-31,TCS,1909.3147,0.0,71.555,5.15,7.859,-0.02750445598479223,1
2020-02-03,TCS,1930.8503,0.4404,71.555,5.15,7.859,0.01127923018662158,0
2020-02-03,TCS,1930.8503,0.0,71.555,5.15,7.859,0.0,0
2020-02-03,TCS,1930.8503,0.0,71.555,5.15,7.859,0.0,0
2020-02-03,TCS,1930.8503,0.34,71.555,5.15,7.859,0.0,1
2020-02-04,TCS,1935.6716,0.2023,71.555,5.15,7.859,0.0024969828059688837,1
2020-02-05,TCS,1971.3037,0.0,71.555,5.15,7.859,0.018408132867166138,0
2020-02-05,TCS,1971.3037,0.0,71.555,5.15,7.859,0.0,0
2020-02-05,TCS,1971.3037,0.0,71.555,5.15,7.859,0.0,0
2020-02-05,TCS,1971.3037,0.0,71.555,5.15,7.859,0.0,0
2020-02-06,TCS,1954.5901,0.0,71.555,5.15,7.859,-0.008478450073420962,1
2020-02-07,TCS,1962.1202,0.0,71.555,5.15,7.859,0.00385252130357161,1
2020-02-10,TCS,1985.4464,0.0557,71.555,5.15,7.859,0.01188826250298014,0
2020-02-11,TCS,1977.5946,0.0,71.555,5.15,7.859,-0.003954677396478812,1
2020-02-12,TCS,1993.5283,0.0,71.555,5.15,7.859,0.008057111401902128,0
2020-02-12,TCS,1993.5283,-0.5719,71.555,5.15,7.859,0.0,0
2020-02-12,TCS,1993.5283,0.0,71.555,5.15,7.859,0.0,1
2020-02-13,TCS,2012.9974,0.0,71.33,5.15,7.859,0.009766151802309553,0
2020-02-14,TCS,2005.8801,0.0,71.529,5.15,7.859,-0.003535672723670613,1
2020-02-17,TCS,2023.3746,0.0,71.34,5.15,7.859,0.00872160803629285,1
2020-02-18,TCS,2034.8545,-0.1531,71.585,5.15,7.859,0.005673640461830276,0
2020-02-19,TCS,2017.0377,0.0,71.6,5.15,7.859,-0.008755810304864498,0
2020-02-20,TCS,1980.7179,-0.5719,71.68,5.15,7.859,-0.018006505282474383,0
2020-02-24,TCS,1942.6515,-0.1531,71.935,5.15,7.859,-0.019218486388193012,0
2020-02-24,TCS,1942.6515,0.0,71.935,5.15,7.859,0.0,0
2020-02-24,TCS,1942.6515,0.0,71.935,5.15,7.859,0.0,1
2020-02-25,TCS,1980.1199,-0.2732,71.82,5.15,7.859,0.0192872473523944,0
2020-02-26,TCS,1950.2281,0.0,71.58,5.15,7.859,-0.015095954542954648,0
2020-02-26,TCS,1950.2281,-0.5719,71.58,5.15,7.859,0.0,0
2020-02-27,TCS,1933.6052,0.0,71.655,5.15,7.859,-0.008523567063770665,0
